
date,series_id,value,city
2000-07-01,NEWY636UR,4.4,New York
2000-08-01,NEWY636UR,4.4,New York
2000-09-01,NEWY636UR,4.4,New York
2000-10-01,NEWY636UR,4.3,New York
2000-11-01,NEWY636UR,4.3,New York
2000-12-01,NEWY636UR,4.3,New York
2001-01-01,NEWY636UR,4.2,New York
2001-02-01,NEWY636UR,4.2,New York
2001-03-01,NEWY636UR,4.2,New York
2001-04-01,NEWY636UR,4.3,New York
2001-05-01,NEWY636UR,4.4,New York
2001-06-01,NEWY636UR,4.5,New York
2001-07-01,NEWY636UR,4.7,New York
2001-08-01,NEWY636UR,4.9,New York
2001-09-01,NEWY636UR,5.3,New York
2001-10-01,NEWY636UR,5.6,New York
2001-11-01,NEWY636UR,5.9,New York
2001-12-01,NEWY636UR,6.1,New York
2002-01-01,NEWY636UR,6.3,New York
2002-02-01,NEWY636UR,6.4,New York
2002-03-01,NEWY636UR,6.5,New York
2002-04-01,NEWY636UR,6.5,New York
2002-05-01,NEWY636UR,6.5,New York
2002-06-01,NEWY636UR,6.4,New York
2002-07-01,NEWY636UR,6.4,New York
2002-08-01,NEWY636UR,6.4,New York
2002-09-01,NEWY636UR,6.4,New York
2002-10-01,NEWY636UR,6.5,New York
2002-11-01,NEWY636UR,6.6,New York
2002-12-01,NEWY636UR,6.6,New York
2003-01-01,NEWY636UR,6.7,New York
2003-02-01,NEWY636UR,6.7,New York
2003-03-01,NEWY636UR,6.6,New York
2003-04-01,NEWY636UR,6.6,New York
2003-05-01,NEWY636UR,6.6,New York
2003-06-01,NEWY636UR,6.7,New York
2003-07-01,NEWY636UR,6.7,New York
2003-08-01,NEWY636UR,6.6,New York
2003-09-01,NEWY636UR,6.6,New York
2003-10-01,NEWY636UR,6.5,New York
2003-11-01,NEWY636UR,6.4,New York
2003-12-01,NEWY636UR,6.3,New York
2004-01-01,NEWY636UR,6.3,New York
2004-02-01,NEWY636UR,6.2,New York
2004-03-01,NEWY636UR,6.1,New York
2004-04-01,NEWY636UR,6.0,New York
2004-05-01,NEWY636UR,5.9,New York
2004-06-01,NEWY636UR,5.8,New York
2004-07-01,NEWY636UR,5.7,New York
2004-08-01,NEWY636UR,5.5,New York
2004-09-01,NEWY636UR,5.4,New York
2004-10-01,NEWY636UR,5.2,New York
2004-11-01,NEWY636UR,5.1,New York
2004-12-01,NEWY636UR,5.0,New York
2005-01-01,NEWY636UR,4.9,New York
2005-02-01,NEWY636UR,4.9,New York
2005-03-01,NEWY636UR,4.8,New York
2005-04-01,NEWY636UR,4.8,New York
2005-05-01,NEWY636UR,4.7,New York
2005-06-01,NEWY636UR,4.7,New York
2005-07-01,NEWY636UR,4.8,New York
2005-08-01,NEWY636UR,4.8,New York
2005-09-01,NEWY636UR,4.9,New York
2005-10-01,NEWY636UR,4.9,New York
2005-11-01,NEWY636UR,4.9,New York
2005-12-01,NEWY636UR,4.8,New York
2006-01-01,NEWY636UR,4.8,New York
2006-02-01,NEWY636UR,4.7,New York
2006-03-01,NEWY636UR,4.7,New York
2006-04-01,NEWY636UR,4.7,New York
2006-05-01,NEWY636UR,4.7,New York
2006-06-01,NEWY636UR,4.7,New York
2006-07-01,NEWY636UR,4.6,New York
2006-08-01,NEWY636UR,4.5,New York
2006-09-01,NEWY636UR,4.3,New York
2006-10-01,NEWY636UR,4.2,New York
2006-11-01,NEWY636UR,4.1,New York
2006-12-01,NEWY636UR,4.1,New York
2007-01-01,NEWY636UR,4.0,New York
2007-02-01,NEWY636UR,4.0,New York
2007-03-01,NEWY636UR,4.1,New York
2007-04-01,NEWY636UR,4.1,New York
2007-05-01,NEWY636UR,4.2,New York
2007-06-01,NEWY636UR,4.3,New York
2007-07-01,NEWY636UR,4.4,New York
2007-08-01,NEWY636UR,4.4,New York
2007-09-01,NEWY636UR,4.4,New York
2007-10-01,NEWY636UR,4.4,New York
2007-11-01,NEWY636UR,4.5,New York
2007-12-01,NEWY636UR,4.5,New York
2008-01-01,NEWY636UR,4.5,New York
2008-02-01,NEWY636UR,4.6,New York
2008-03-01,NEWY636UR,4.6,New York
2008-04-01,NEWY636UR,4.7,New York
2008-05-01,NEWY636UR,4.9,New York
2008-06-01,NEWY636UR,5.1,New York
2008-07-01,NEWY636UR,5.3,New York
2008-08-01,NEWY636UR,5.4,New York
2008-09-01,NEWY636UR,5.6,New York
2008-10-01,NEWY636UR,5.9,New York
2008-11-01,NEWY636UR,6.2,New York
2008-12-01,NEWY636UR,6.6,New York
2009-01-01,NEWY636UR,7.0,New York
2009-02-01,NEWY636UR,7.4,New York
2009-03-01,NEWY636UR,7.8,New York
2009-04-01,NEWY636UR,8.2,New York
2009-05-01,NEWY636UR,8.5,New York
2009-06-01,NEWY636UR,8.7,New York
2009-07-01,NEWY636UR,9.0,New York
2009-08-01,NEWY636UR,9.1,New York
2009-09-01,NEWY636UR,9.2,New York
2009-10-01,NEWY636UR,9.3,New York
2009-11-01,NEWY636UR,9.4,New York
2009-12-01,NEWY636UR,9.4,New York
2010-01-01,NEWY636UR,9.4,New York
2010-02-01,NEWY636UR,9.4,New York
2010-03-01,NEWY636UR,9.3,New York
2010-04-01,NEWY636UR,9.2,New York
2010-05-01,NEWY636UR,9.1,New York
2010-06-01,NEWY636UR,9.0,New York
