Stage,MSE,RMSE,MAE,MAPE,R2
Baseline,0.006703240807930709,0.08187332171062017,0.05920352972617822,1.71182586130821,-0.014481036477661524
Outlier Clipping,0.006703240807930709,0.08187332171062017,0.05920352972617822,1.71182586130821,-0.014481036477661524
Missing Value Fix,0.006703240807930709,0.08187332171062017,0.05920352972617822,1.71182586130821,-0.014481036477661524
Feature De-correlation,0.0059103583088574935,0.07687885475771276,0.05778983535411668,1.7116873357779587,-0.01615407587647466
Rolling Median,0.0028306545506758853,0.053203896010310045,0.03900614261154892,2.1640688625607845,-0.029360772008980573
