Date,Open,High,Low,Close,Volume
2013-07-31,11.8228,11.8643,10.9685,11.2494,16981582.285886
2013-08-31,11.2562,11.2632,9.7327,10.5671,3770500.6149948
2013-09-30,10.7095,11.4313,10.4228,10.8302,4907484.0538798
2013-10-31,10.8588,11.3749,10.4228,10.9172,3993314.8911886
2013-11-30,10.8766,11.2226,10.3645,11.1653,2314208.8787547
2013-12-31,11.1258,11.2899,10.3961,10.751,2795113.2817554
2014-01-31,10.6907,11.2216,10.3654,11.1149,3377166.3340253
2014-02-28,11.0645,11.7279,10.5939,11.5519,1423605.1615845
2014-03-31,11.5242,12.6246,11.2296,11.6488,2740762.7611101
2014-04-30,11.6162,11.9434,11.4075,11.6824,1201633.4115128
2014-05-31,11.624,12.1174,11.3334,11.4866,1947208.3434217
2014-06-30,11.5074,12.0423,11.4511,11.7961,3861551.0880297
2014-07-31,11.8535,12.0008,11.3551,11.4579,3306008.7826825
2014-08-31,11.4916,12.2934,10.842,12.2113,20353914.967645
2014-09-30,12.1757,12.412,11.3867,11.5608,11035898.705207
2014-10-31,11.5361,12.9915,11.3453,12.9113,7558488.9570619
2014-11-30,12.9499,13.2129,12.3824,12.6909,5729109.8641168
2014-12-31,12.6523,13.5639,12.4902,13.2208,3255520.9358191
2015-01-31,13.3029,14.1323,13.1605,13.4848,9832548.8869367
2015-02-28,13.5114,13.6281,12.9469,13.5026,10241477.486934
2015-03-31,13.548,14.0691,13.1516,13.4077,8728090.1929599
2015-04-30,13.3711,13.816,12.5357,12.6059,6448325.7644912
2015-05-31,12.6147,12.8857,12.0868,12.3754,11104698.599418
2015-06-30,12.4467,12.855,12.2667,12.4694,15471212.105263
2015-07-31,12.4694,13.0003,12.1204,12.4615,7499204.6519945
2015-08-31,12.4694,12.6612,10.751,11.0497,5654724.8207504
2015-09-30,11.0319,11.9454,10.8192,11.9118,5412994.6699641
2015-10-31,11.9306,13.378,11.7881,13.0844,9503830.1897736
2015-11-30,13.1576,14.4655,12.762,13.9148,16319568.144018
2015-12-31,13.8783,14.5921,13.1951,14.2471,11527328.110401
2016-01-31,14.0741,14.2471,13.1832,14.1848,6983682.8431652
2016-02-29,14.1571,15.3593,13.7665,14.6732,10890563.454862
2016-03-31,14.7246,16.0553,14.6287,15.9348,7718275.603845
2016-04-30,15.8378,16.8899,15.4434,16.4687,19682011.005342
2016-05-31,16.5774,17.6472,16.5151,17.4613,8672630.1271094
2016-06-30,17.4366,18.9216,17.3922,18.63,13593564.255865
2016-07-31,18.7269,20.2257,18.3452,20.1911,8736534.6714634
2016-08-31,20.2168,20.2909,19.2251,19.7204,8232346.0021278
2016-09-30,19.7778,20.6499,18.5854,20.3374,7832243.1919757
2016-10-31,20.3295,20.3295,18.5232,18.713,7228753.7667983
2016-11-30,18.7031,20.1852,17.8142,19.6285,9499290.8653606
2016-12-31,19.5287,20.9682,19.1559,20.7269,8162207.9781933
2017-01-31,20.8752,21.7957,20.0309,20.2969,5880443.940909
2017-02-28,20.2969,20.9396,19.7136,20.5382,7732124.1844739
2017-03-31,20.5648,20.6341,19.0729,20.2603,9214467.4757285
2017-04-30,20.2405,22.8042,20.0982,22.4374,6934387.4792526
2017-05-31,22.4977,24.9023,22.1764,24.5167,13444202.479119
2017-06-30,24.5087,25.5212,24.3684,24.8142,14658847.002318
2017-07-31,24.9507,25.8098,24.3198,25.792,7329013.3638931
2017-08-31,25.8642,27.4204,24.5028,27.1762,18237373.033783
2017-09-30,27.2217,27.6735,25.5112,26.0125,17952633.593332
2017-10-31,26.1361,27.8693,26.0501,26.9894,9340215.2580298
2017-11-30,24.9071,28.8253,24.6818,28.5169,10236520.439486
2017-12-31,28.508,28.769,26.3892,26.6414,11470062.631431
2018-01-31,26.6552,27.2415,25.7792,27.1228,9314048.3993203
2018-02-28,27.0952,27.4432,24.043,24.6659,11760069.630158
2018-03-31,24.5383,26.7985,24.5383,26.4465,16950586.83209
2018-04-30,26.5761,28.6909,25.5202,28.0661,12435154.558432
2018-05-31,28.1007,30.2323,27.8712,28.7265,16700380.848287
2018-06-30,28.7719,29.4532,28.2212,28.9856,23792564.46843
2018-07-31,28.948,29.373,27.2128,28.2924,9218482.8763345
2018-08-31,29.1605,30.1394,28.1728,30.0088,12849413.425733
2018-09-30,29.9821,30.0286,28.7907,29.6648,12497967.763427
2018-10-31,29.7092,30.1264,27.5757,29.3938,11771967.150896
2018-11-30,29.6826,31.1291,29.379,30.2945,15785795.985432
2018-12-31,30.1996,30.7948,26.147,27.5015,15449803.041126
2019-01-31,27.0813,31.7212,26.5504,31.3544,13490893.395535
2019-02-28,31.3356,33.1103,30.7029,31.9902,13707828.194721
2019-03-31,32.0742,33.8499,31.4681,33.5898,18830598.407235
